Filename,Predictions
angry/im0.png,neutral
angry/im1.png,sad
angry/im10.png,neutral
angry/im100.png,angry
angry/im101.png,sad
angry/im102.png,angry
angry/im103.png,angry
angry/im104.png,fearful
angry/im105.png,neutral
angry/im106.png,angry
angry/im107.png,angry
angry/im108.png,angry
angry/im109.png,angry
angry/im11.png,neutral
angry/im110.png,fearful
angry/im111.png,neutral
angry/im112.png,surprised
angry/im113.png,angry
angry/im114.png,happy
angry/im115.png,angry
angry/im116.png,angry
angry/im117.png,angry
angry/im118.png,angry
angry/im119.png,sad
angry/im12.png,sad
angry/im120.png,angry
angry/im121.png,angry
angry/im122.png,angry
angry/im123.png,neutral
angry/im124.png,angry
angry/im125.png,neutral
angry/im126.png,angry
angry/im127.png,angry
angry/im128.png,surprised
angry/im129.png,angry
angry/im13.png,angry
angry/im130.png,angry
angry/im131.png,fearful
angry/im132.png,angry
angry/im133.png,angry
angry/im134.png,happy
angry/im135.png,angry
angry/im136.png,sad
angry/im137.png,sad
angry/im138.png,fearful
angry/im139.png,neutral
angry/im14.png,surprised
angry/im140.png,angry
angry/im141.png,angry
angry/im142.png,angry
angry/im143.png,angry
angry/im144.png,neutral
angry/im145.png,fearful
angry/im146.png,sad
angry/im147.png,angry
angry/im148.png,sad
angry/im149.png,angry
angry/im15.png,angry
angry/im150.png,angry
angry/im151.png,angry
angry/im152.png,sad
angry/im153.png,angry
angry/im154.png,angry
angry/im155.png,angry
angry/im156.png,angry
angry/im157.png,neutral
angry/im158.png,angry
angry/im159.png,surprised
angry/im16.png,sad
angry/im160.png,angry
angry/im161.png,neutral
angry/im162.png,angry
angry/im163.png,neutral
angry/im164.png,angry
angry/im165.png,fearful
angry/im166.png,sad
angry/im167.png,neutral
angry/im168.png,fearful
angry/im169.png,angry
angry/im17.png,angry
angry/im170.png,angry
angry/im171.png,angry
angry/im172.png,fearful
angry/im173.png,angry
angry/im174.png,angry
angry/im175.png,angry
angry/im176.png,angry
angry/im177.png,happy
angry/im178.png,angry
angry/im179.png,angry
angry/im18.png,fearful
angry/im180.png,sad
angry/im181.png,happy
angry/im182.png,angry
angry/im183.png,neutral
angry/im184.png,angry
angry/im185.png,sad
angry/im186.png,neutral
angry/im187.png,neutral
angry/im188.png,angry
angry/im189.png,fearful
angry/im19.png,sad
angry/im190.png,angry
angry/im191.png,angry
angry/im192.png,angry
angry/im193.png,sad
angry/im194.png,angry
angry/im195.png,neutral
angry/im196.png,neutral
angry/im197.png,neutral
angry/im198.png,angry
angry/im199.png,angry
angry/im2.png,surprised
angry/im20.png,angry
angry/im200.png,angry
angry/im201.png,fearful
angry/im202.png,angry
angry/im203.png,angry
angry/im204.png,angry
angry/im205.png,neutral
angry/im206.png,angry
angry/im207.png,neutral
angry/im208.png,angry
angry/im209.png,angry
angry/im21.png,neutral
angry/im210.png,sad
angry/im211.png,angry
angry/im212.png,neutral
angry/im213.png,angry
angry/im214.png,angry
angry/im215.png,fearful
angry/im216.png,angry
angry/im217.png,neutral
angry/im218.png,fearful
angry/im219.png,angry
angry/im22.png,angry
angry/im220.png,surprised
angry/im221.png,happy
angry/im222.png,sad
angry/im223.png,angry
angry/im224.png,sad
angry/im225.png,angry
angry/im226.png,neutral
angry/im227.png,neutral
angry/im228.png,angry
angry/im229.png,angry
angry/im23.png,angry
angry/im230.png,angry
angry/im231.png,angry
angry/im232.png,angry
angry/im233.png,sad
angry/im234.png,angry
angry/im235.png,angry
angry/im236.png,angry
angry/im237.png,angry
angry/im238.png,neutral
angry/im239.png,sad
angry/im24.png,angry
angry/im240.png,neutral
angry/im241.png,surprised
angry/im242.png,fearful
angry/im243.png,neutral
angry/im244.png,angry
angry/im245.png,angry
angry/im246.png,happy
angry/im247.png,fearful
angry/im248.png,angry
angry/im249.png,angry
angry/im25.png,happy
angry/im250.png,angry
angry/im251.png,angry
angry/im252.png,angry
angry/im253.png,neutral
angry/im254.png,surprised
angry/im255.png,angry
angry/im256.png,happy
angry/im257.png,neutral
angry/im258.png,fearful
angry/im259.png,angry
angry/im26.png,angry
